"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1784;1840;1997;2088;4210;3680;3249;2570;1405;761;251;23835
"110002 ARIQUEMES";7897;8046;9388;9845;18820;16748;13442;8890;4935;2227;810;101048
"110003 CABIXI";454;460;420;452;869;906;868;704;416;204;66;5819
"110004 CACOAL";5916;6194;6761;7392;15309;13610;11512;8461;4710;2312;987;83164
"110005 CEREJEIRAS";1175;1241;1313;1441;2990;2612;2347;1876;1048;556;211;16810
"110006 COLORADO DO OESTE";1208;1258;1274;1353;2915;2784;2361;1952;1234;675;256;17270
"110007 CORUMBIARA";574;575;646;718;1448;1325;1206;804;460;251;90;8097
"110008 COSTA MARQUES";1724;1584;1690;1781;2841;2661;1844;1233;677;285;94;16414
"110009 ESPIGAO D'OESTE";2493;2542;2648;2824;5411;5146;4139;3018;1722;804;310;31057
"110010 GUAJARA-MIRIM";4262;4321;4582;4355;7783;6758;5342;3617;2109;997;477;44603
"110011 JARU";4000;4059;4630;4747;9371;9080;6763;4765;2852;1509;634;52410
"110012 JI-PARANA";9347;9841;10601;10810;22784;20922;16757;12393;6835;3096;1314;124700
"110013 MACHADINHO D'OESTE";3351;3323;3485;3452;6229;5914;4504;3240;1868;809;220;36395
"110014 NOVA BRASILANDIA D'OESTE";1473;1477;1729;1891;3616;3322;2834;2062;1227;580;202;20413
"110015 OURO PRETO DO OESTE";2703;2802;3092;3272;6581;6098;4993;3846;2219;1182;473;37261
"110018 PIMENTA BUENO";2656;2837;3147;3271;6676;5906;4666;3515;1855;869;354;35752
"110020 PORTO VELHO";38292;39318;42940;46475;96173;87423;62616;43778;21042;8068;3147;489272
"110025 PRESIDENTE MEDICI";1402;1482;1669;1651;3422;3207;2902;2411;1465;749;328;20688
"110026 RIO CRESPO";297;292;312;329;535;576;496;393;217;114;39;3600
"110028 ROLIM DE MOURA";3907;4024;4565;4736;10064;9009;7306;5118;2877;1433;588;53627
"110029 SANTA LUZIA D'OESTE";534;554;560;623;1289;1189;1140;877;492;280;105;7643
"110030 VILHENA";7154;7377;7851;8208;16791;15438;11950;8415;4295;2005;694;90178
"110032 SAO MIGUEL DO GUAPORE";1901;1839;2069;2209;4115;3680;2927;2084;1144;583;157;22708
"110033 NOVA MAMORE";2657;2600;2836;2681;4499;4496;3346;2239;1213;513;181;27261
"110034 ALVORADA D'OESTE";1178;1195;1328;1373;2620;2453;2143;1683;1001;506;184;15664
"110037 ALTO ALEGRE DOS PARECIS";1132;1080;1264;1240;2290;1988;1813;1201;716;361;99;13184
"110040 ALTO PARAISO";1689;1642;1880;1948;3242;3025;2779;1829;1014;509;148;19705
"110045 BURITIS";3314;3226;3634;3536;6474;6110;4523;3026;1828;865;235;36771
"110050 NOVO HORIZONTE DO OESTE";690;697;729;776;1527;1430;1379;1077;638;343;109;9395
"110060 CACAULANDIA";518;498;564;562;967;943;795;556;396;212;59;6070
"110070 CAMPO NOVO DE RONDONIA";1272;1198;1342;1289;2252;2198;1845;1239;650;256;76;13617
"110080 CANDEIAS DO JAMARI";2351;2162;2323;2354;4137;3859;2842;2023;1172;440;176;23839
"110090 CASTANHEIRAS";223;220;259;295;537;491;500;378;255;129;33;3320
"110092 CHUPINGUAIA";938;910;950;1011;1800;1715;1260;801;397;167;44;9993
"110094 CUJUBIM";2124;2009;2264;2206;3647;3659;2582;1583;822;280;63;21239
"110100 GOVERNADOR JORGE TEIXEIRA";701;672;811;832;1518;1409;1242;925;588;289;101;9088
