"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2607;2771;2984;2718;4706;3965;2986;1665;1111;501;118;26132
"110002 ARIQUEMES";8534;9187;9253;8868;15654;13206;9083;5170;2840;1309;356;83460
"110003 CABIXI";732;700;713;726;1233;1045;846;550;370;163;50;7128
"110004 CACOAL";7275;7793;8321;8117;14475;12165;9022;5148;3051;1625;510;77502
"110005 CEREJEIRAS";1657;1773;1958;1897;3180;2787;2103;1295;847;435;134;18066
"110006 COLORADO DO OESTE";1937;1968;2172;2184;3805;3036;2418;1576;1066;520;171;20853
"110007 CORUMBIARA";912;1072;1140;1077;1804;1487;1074;674;470;165;42;9917
"110008 COSTA MARQUES";1507;1509;1327;1205;2091;1474;1080;657;379;193;45;11467
"110009 ESPIGAO D'OESTE";2887;2873;2899;2887;5249;4167;3098;1849;1051;541;157;27658
"110010 GUAJARA-MIRIM";5026;4679;4616;4297;7402;5768;3851;2372;1387;812;341;40551
"110011 JARU";5363;5633;5858;5882;10702;7962;5696;3400;2135;1060;357;54048
"110012 JI-PARANA";11304;11239;12144;12063;21614;17728;13235;7409;4069;2156;724;113685
"110013 MACHADINHO D'OESTE";3162;3047;2988;2882;5130;3775;2881;1803;993;365;88;27114
"110014 NOVA BRASILANDIA D'OESTE";1920;2250;2343;2044;3854;3020;2125;1374;815;416;93;20254
"110015 OURO PRETO DO OESTE";3886;4095;4327;4363;7609;6148;4532;2662;1662;857;282;40423
"110018 PIMENTA BUENO";3283;3391;3590;3581;6245;5089;3873;2251;1250;647;208;33408
"110020 PORTO VELHO";40378;41273;42864;43240;75161;59015;43217;22348;10704;5198;1951;385349
"110025 PRESIDENTE MEDICI";2306;2446;2638;2595;4571;3634;2936;1884;1233;642;196;25081
"110026 RIO CRESPO";324;319;334;319;583;490;348;222;154;71;13;3177
"110028 ROLIM DE MOURA";4707;4985;5489;5363;9315;7795;5549;3283;2013;1110;326;49935
"110029 SANTA LUZIA D'OESTE";993;1063;1154;1101;1933;1630;1229;692;498;233;80;10606
"110030 VILHENA";6753;6608;6996;7046;12237;10289;7467;4165;2296;1065;287;65209
"110032 SAO MIGUEL DO GUAPORE";2345;2577;2600;2332;4086;3188;2280;1337;824;307;67;21943
"110033 NOVA MAMORE";2291;2153;2057;1999;3690;2634;1824;1112;601;253;74;18688
"110034 ALVORADA D'OESTE";1893;2062;2114;1894;3501;2752;2094;1283;802;403;98;18896
