"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1900;2075;2302;2422;4312;3704;3305;2283;1292;718;203;24516
"110002 ARIQUEMES";7664;8480;9518;9452;18194;15591;12365;7742;4160;1971;699;95836
"110003 CABIXI";495;506;555;545;941;921;886;697;391;210;60;6207
"110004 CACOAL";5971;6459;7371;7770;15170;13169;11008;7487;4046;2151;885;81487
"110005 CEREJEIRAS";1237;1358;1545;1638;3017;2612;2403;1641;1006;535;190;17182
"110006 COLORADO DO OESTE";1329;1408;1551;1637;3171;2853;2431;1865;1177;663;247;18332
"110007 CORUMBIARA";615;707;838;869;1480;1384;1196;793;437;236;81;8636
"110008 COSTA MARQUES";1556;1592;1718;1570;2609;2308;1599;1071;586;253;86;14948
"110009 ESPIGAO D'OESTE";2467;2586;2848;2816;5404;4903;3842;2681;1507;729;267;30050
"110010 GUAJARA-MIRIM";4256;4558;4703;4359;7601;6500;5004;3150;1872;942;458;43403
"110011 JARU";4119;4565;5053;5032;9938;8735;6523;4389;2546;1433;562;52895
"110012 JI-PARANA";9454;10145;10942;11347;22975;19799;16015;10952;5779;2860;1168;121436
"110013 MACHADINHO D'OESTE";3120;3311;3509;3306;5827;5256;4032;2874;1549;681;180;33645
"110014 NOVA BRASILANDIA D'OESTE";1487;1685;1990;2089;3544;3288;2605;1854;1113;540;171;20366
"110015 OURO PRETO DO OESTE";2856;3137;3515;3595;7036;5979;5072;3447;2024;1108;429;38198
"110018 PIMENTA BUENO";2697;2972;3304;3374;6676;5572;4567;3122;1664;786;323;35057
"110020 PORTO VELHO";37208;39019;43099;44277;94019;78198;57849;37508;17253;7169;2878;458477
"110025 PRESIDENTE MEDICI";1539;1776;1976;2039;3668;3264;2985;2322;1360;744;317;21990
"110026 RIO CRESPO";289;317;342;308;553;531;476;326;192;107;34;3475
"110028 ROLIM DE MOURA";3921;4317;4769;4999;10035;8611;6881;4555;2564;1355;526;52533
"110029 SANTA LUZIA D'OESTE";617;654;759;804;1438;1308;1230;845;482;276;108;8521
"110030 VILHENA";6778;7126;7640;7735;15922;13800;10850;7006;3618;1747;557;82779
"110032 SAO MIGUEL DO GUAPORE";1893;2059;2308;2316;4040;3550;2770;1863;1039;518;125;22481
"110033 NOVA MAMORE";2416;2623;2739;2412;4213;3949;2908;1882;983;436;159;24720
