"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1731;1717;1823;1970;4043;3662;3182;2712;1513;763;276;23392
"110002 ARIQUEMES";8101;7943;8889;9972;19267;17574;13948;9895;5512;2436;904;104441
"110003 CABIXI";430;422;386;400;829;862;835;709;429;195;70;5567
"110004 CACOAL";5917;5974;6458;7184;15046;14052;11764;9051;5271;2474;1066;84257
"110005 CEREJEIRAS";1142;1166;1219;1342;2879;2639;2302;1985;1099;572;222;16567
"110006 COLORADO DO OESTE";1146;1150;1165;1236;2711;2695;2313;1966;1266;663;268;16579
"110007 CORUMBIARA";547;532;562;638;1383;1272;1175;826;468;249;94;7746
"110008 COSTA MARQUES";1837;1633;1631;1792;3140;2775;2053;1363;737;306;102;17369
"110009 ESPIGAO D'OESTE";2529;2480;2566;2769;5440;5253;4342;3220;1907;873;334;31713
"110010 GUAJARA-MIRIM";4322;4192;4347;4394;7912;6894;5559;3957;2239;1075;494;45385
"110011 JARU";3955;3868;4236;4615;9098;9054;6917;5025;3080;1565;681;52094
"110012 JI-PARANA";9374;9482;10202;10873;22434;21520;17241;13287;7656;3345;1412;126826
"110013 MACHADINHO D'OESTE";3519;3363;3402;3504;6551;6172;4916;3526;2084;887;261;38185
"110014 NOVA BRASILANDIA D'OESTE";1476;1422;1567;1785;3601;3287;2964;2183;1320;619;219;20443
"110015 OURO PRETO DO OESTE";2628;2627;2835;3106;6283;6076;4954;4043;2366;1224;508;36650
"110018 PIMENTA BUENO";2667;2726;2998;3255;6579;6129;4807;3705;2049;925;364;36204
"110020 PORTO VELHO";39359;38740;42175;47449;97289;93099;67013;47555;24262;9014;3368;509323
"110025 PRESIDENTE MEDICI";1334;1354;1471;1528;3185;3116;2823;2423;1515;754;337;19840
"110026 RIO CRESPO";303;288;290;318;558;575;524;431;235;116;44;3682
"110028 ROLIM DE MOURA";3923;3895;4287;4727;9902;9311;7487;5531;3161;1494;622;54340
"110029 SANTA LUZIA D'OESTE";485;489;494;539;1154;1116;1048;883;498;261;105;7072
"110030 VILHENA";7460;7373;7822;8528;17309;16490;12770;9286;4967;2207;783;94995
"110032 SAO MIGUEL DO GUAPORE";1909;1787;1896;2119;4152;3706;3031;2216;1254;604;182;22856
"110033 NOVA MAMORE";2834;2661;2742;2789;4829;4672;3739;2500;1363;580;206;28915
"110034 ALVORADA D'OESTE";1124;1097;1176;1263;2482;2332;2099;1712;1062;498;195;15040
"110037 ALTO ALEGRE DOS PARECIS";1141;1045;1138;1219;2299;1956;1858;1310;756;379;112;13213
"110040 ALTO PARAISO";1770;1670;1766;1933;3455;3145;2943;2031;1128;552;170;20563
"110045 BURITIS";3450;3219;3431;3628;6697;6256;4834;3287;2096;1017;291;38206
"110050 NOVO HORIZONTE DO OESTE";649;639;650;689;1432;1347;1345;1102;657;340;118;8968
"110060 CACAULANDIA";529;488;517;550;988;942;813;607;423;222;71;6150
"110070 CAMPO NOVO DE RONDONIA";1306;1183;1225;1282;2318;2223;1926;1319;723;286;86;13877
"110080 CANDEIAS DO JAMARI";2505;2219;2246;2408;4416;4096;3149;2222;1281;530;188;25260
"110090 CASTANHEIRAS";214;204;222;263;521;469;488;396;245;129;36;3187
"110092 CHUPINGUAIA";1002;931;939;1029;1959;1778;1392;900;424;182;49;10585
"110094 CUJUBIM";2359;2129;2233;2402;4122;3916;2900;1840;922;319;76;23218
"110100 GOVERNADOR JORGE TEIXEIRA";652;603;670;735;1394;1310;1181;918;574;289;104;8430
"110110 ITAPUA DO OESTE";995;921;854;911;1775;1477;1287;954;575;259;74;10082
"110120 MINISTRO ANDREAZZA";816;796;825;874;1714;1459;1385;952;610;316;120;9867
"110130 MIRANTE DA SERRA";853;804;925;1019;1903;1732;1471;1122;777;416;193;11215
"110140 MONTE NEGRO";1324;1243;1331;1478;2570;2404;2044;1505;974;497;164;15534
"110143 NOVA UNIAO";547;543;582;638;1254;1066;1015;752;444;210;74;7125
"110145 PARECIS";512;494;496;509;1023;953;743;599;311;137;41;5818
"110146 PIMENTEIRAS DO OESTE";219;191;180;200;347;335;315;228;127;57;15;2214
"110147 PRIMAVERA DE RONDONIA";211;200;219;272;477;459;426;366;229;117;47;3023
"110148 SAO FELIPE D'OESTE";366;353;371;411;830;870;778;644;445;235;88;5391
"110149 SAO FRANCISCO DO GUAPORE";1788;1626;1681;1851;3461;2972;2527;1736;1072;529;166;19409
"110150 SERINGUEIRAS";936;866;1003;1127;2096;1810;1656;1194;711;340;126;11865
"110155 TEIXEIROPOLIS";305;306;325;370;727;678;622;542;305;190;92;4462
"110160 THEOBROMA";845;809;834;889;1654;1667;1472;1119;741;380;134;10544
"110170 URUPA";876;846;918;978;1969;1922;1575;1306;925;412;141;11868
"110175 VALE DO ANARI";933;841;872;939;1760;1702;1474;1149;715;354;109;10848
"110180 VALE DO PARAISO";515;504;534;612;1188;1093;1056;846;500;237;90;7175
"120001 ACRELANDIA";1437;1430;1446;1523;2621;2190;1742;1190;719;353;130;14781
"120005 ASSIS BRASIL";849;837;803;714;1228;1017;763;480;280;144;66;7181
"120010 BRASILEIA";2285;2404;2594;2547;4583;3878;3049;1949;1188;649;288;25414
"120013 BUJARI";972;967;1003;1026;1710;1451;1130;789;567;252;87;9954
"120017 CAPIXABA";1147;1096;1148;1246;1957;1414;1281;952;559;282;93;11175
"120020 CRUZEIRO DO SUL";9009;9309;9957;9591;15607;13245;8803;5278;3306;1943;915;86963
"120025 EPITACIOLANDIA";1610;1698;1823;1826;3200;2656;2080;1412;845;471;209;17830
"120030 FEIJO";4356;4442;4378;4019;5941;4341;3083;1969;1121;651;268;34569
"120032 JORDAO";1365;1205;1126;996;1382;937;549;244;114;53;28;7999
"120033 MANCIO LIMA";2177;2158;2077;1958;3178;2664;1723;1080;702;410;170;18297
"120034 MANOEL URBANO";1132;1090;1081;1021;1590;1329;889;527;311;159;83;9212
"120035 MARECHAL THAUMATURGO";2744;2628;2501;2278;3148;2118;1250;695;364;189;73;17988
"120038 PLACIDO DE CASTRO";1904;1979;2042;1927;3152;2626;2225;1699;1060;529;223;19366
"120039 PORTO WALTER";1898;1763;1574;1368;1827;1363;844;432;226;109;52;11456
"120040 RIO BRANCO";31865;34954;39352;40606;72581;66315;47815;30932;18150;8527;3827;394924
