"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1633;1615;1616;1703;3769;3577;3106;2903;1698;791;317;22728
"110002 ARIQUEMES";8337;8162;8416;9792;19852;18540;14786;11308;6452;2822;1056;109523
"110003 CABIXI";389;385;348;305;763;772;791;712;458;188;77;5188
"110004 CACOAL";5861;5934;6196;6577;14558;14501;12221;9866;6194;2788;1197;85893
"110005 CEREJEIRAS";1083;1111;1113;1138;2688;2638;2249;2133;1195;614;242;16204
"110006 COLORADO DO OESTE";1041;1044;1036;1007;2373;2518;2257;1974;1338;665;291;15544
"110007 CORUMBIARA";501;492;453;491;1278;1173;1140;851;487;253;101;7220
"110008 COSTA MARQUES";1987;1786;1593;1730;3571;2903;2381;1545;840;345;117;18798
"110009 ESPIGAO D'OESTE";2559;2507;2519;2571;5441;5332;4680;3497;2213;1003;373;32695
"110010 GUAJARA-MIRIM";4365;4197;4119;4269;8050;6983;5919;4434;2470;1223;527;46556
"110011 JARU";3848;3769;3771;4224;8636;8876;7196;5376;3469;1696;759;51620
"110012 JI-PARANA";9340;9393;9897;10518;21773;22088;18081;14516;9005;3824;1574;130009
"110013 MACHADINHO D'OESTE";3717;3584;3376;3434;6993;6464;5572;3926;2444;1032;325;40867
"110014 NOVA BRASILANDIA D'OESTE";1465;1410;1372;1549;3558;3184;3180;2346;1480;698;247;20489
"110015 OURO PRETO DO OESTE";2491;2491;2534;2727;5792;5951;4930;4305;2624;1326;566;35737
"110018 PIMENTA BUENO";2659;2691;2864;3098;6397;6367;5050;3962;2370;1038;385;36881
"110020 PORTO VELHO";40615;39776;42312;46967;98492;100241;74139;52863;29476;10725;3748;539354
"110025 PRESIDENTE MEDICI";1219;1228;1219;1281;2812;2913;2723;2423;1614;786;353;18571
"110026 RIO CRESPO";309;295;266;289;588;563;569;483;266;123;53;3804
"110028 ROLIM DE MOURA";3910;3891;3999;4515;9596;9621;7813;6109;3639;1633;681;55407
"110029 SANTA LUZIA D'OESTE";405;415;409;391;949;988;915;884;514;239;107;6216
"110030 VILHENA";7850;7724;8011;8644;18001;17815;14090;10517;6052;2580;927;102211
"110032 SAO MIGUEL DO GUAPORE";1902;1796;1695;1893;4183;3689;3207;2395;1439;657;221;23077
"110033 NOVA MAMORE";3072;2883;2659;2835;5294;4866;4355;2870;1611;700;247;31392
"110034 ALVORADA D'OESTE";1032;1004;982;1038;2260;2116;2048;1743;1169;502;212;14106
"110037 ALTO ALEGRE DOS PARECIS";1143;1042;982;1129;2299;1877;1939;1464;826;421;133;13255
"110040 ALTO PARAISO";1875;1793;1647;1825;3751;3275;3210;2316;1317;633;205;21847
"110045 BURITIS";3619;3365;3227;3595;6994;6378;5338;3653;2531;1277;379;40356
"110050 NOVO HORIZONTE DO OESTE";583;584;550;529;1274;1202;1302;1131;695;346;133;8329
"110060 CACAULANDIA";542;497;456;508;1011;926;847;681;468;243;90;6269
"110070 CAMPO NOVO DE RONDONIA";1345;1217;1087;1211;2403;2228;2062;1427;845;339;102;14266
"110080 CANDEIAS DO JAMARI";2706;2412;2197;2389;4806;4389;3634;2501;1465;681;208;27388
"110090 CASTANHEIRAS";198;190;173;199;495;429;472;420;235;133;43;2987
"110092 CHUPINGUAIA";1088;1006;949;1020;2186;1842;1603;1037;472;212;57;11472
"110094 CUJUBIM";2690;2413;2255;2593;4807;4242;3401;2212;1086;387;97;26183
"110100 GOVERNADOR JORGE TEIXEIRA";571;529;479;559;1198;1141;1099;901;562;296;110;7445
"110110 ITAPUA DO OESTE";1036;969;863;806;1941;1531;1425;1029;661;291;89;10641
"110120 MINISTRO ANDREAZZA";776;771;734;737;1594;1459;1327;1043;654;328;136;9559
