"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1757;1771;1904;2041;4128;3676;3216;2642;1456;760;263;23614
"110002 ARIQUEMES";7999;7960;9117;9950;19031;17192;13698;9395;5219;2328;855;102744
"110003 CABIXI";442;439;403;428;850;884;850;706;423;200;68;5693
"110004 CACOAL";5917;6058;6592;7326;15178;13848;11634;8758;4985;2389;1025;83710
"110005 CEREJEIRAS";1159;1198;1262;1399;2939;2629;2323;1930;1072;562;216;16689
"110006 COLORADO DO OESTE";1177;1199;1216;1301;2815;2743;2336;1959;1249;668;262;16925
"110007 CORUMBIARA";560;551;602;682;1418;1300;1190;814;463;250;91;7921
"110008 COSTA MARQUES";1780;1603;1657;1792;2991;2721;1948;1298;707;295;99;16891
"110009 ESPIGAO D'OESTE";2512;2500;2601;2815;5424;5206;4239;3119;1812;836;321;31385
"110010 GUAJARA-MIRIM";4293;4241;4453;4398;7849;6836;5446;3787;2171;1035;485;44994
"110011 JARU";3978;3946;4421;4705;9238;9079;6837;4896;2962;1534;656;52252
"110012 JI-PARANA";9362;9620;10374;10897;22605;21253;16997;12844;7236;3217;1357;125762
"110013 MACHADINHO D'OESTE";3431;3334;3434;3495;6390;6052;4708;3383;1975;847;240;37289
"110014 NOVA BRASILANDIA D'OESTE";1474;1444;1644;1849;3609;3308;2898;2122;1271;599;210;20428
"110015 OURO PRETO DO OESTE";2666;2702;2955;3205;6435;6095;4971;3945;2290;1202;490;36956
"110018 PIMENTA BUENO";2662;2769;3064;3281;6628;6025;4735;3609;1950;896;359;35978
"110020 PORTO VELHO";38828;38867;42446;47187;96726;90371;64791;45670;22625;8530;3252;499293
"110025 PRESIDENTE MEDICI";1369;1411;1565;1598;3310;3162;2862;2417;1489;750;331;20264
"110026 RIO CRESPO";301;289;300;325;547;577;508;412;226;114;42;3641
"110028 ROLIM DE MOURA";3916;3943;4414;4755;9983;9172;7395;5325;3015;1462;603;53983
"110029 SANTA LUZIA D'OESTE";509;519;525;585;1223;1154;1094;880;494;270;105;7358
"110030 VILHENA";7307;7344;7815;8409;17055;15983;12356;8850;4626;2103;737;92585
"110032 SAO MIGUEL DO GUAPORE";1905;1806;1977;2176;4134;3698;2976;2150;1198;593;169;22782
"110033 NOVA MAMORE";2752;2620;2777;2749;4664;4590;3540;2370;1287;546;193;28088
"110034 ALVORADA D'OESTE";1151;1141;1249;1325;2551;2396;2120;1698;1030;502;189;15352
"110037 ALTO ALEGRE DOS PARECIS";1137;1058;1197;1237;2295;1975;1834;1256;734;370;106;13199
