"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1707;1672;1753;1879;3953;3638;3154;2780;1572;769;290;23167
"110002 ARIQUEMES";8210;7952;8722;9932;19518;17932;14204;10379;5815;2550;954;106168
"110003 CABIXI";418;406;374;368;807;830;820;711;439;192;73;5438
"110004 CACOAL";5927;5921;6367;6987;14902;14229;11903;9338;5568;2563;1108;84813
"110005 CEREJEIRAS";1128;1141;1183;1275;2818;2639;2281;2038;1130;583;228;16444
"110006 COLORADO DO OESTE";1117;1107;1121;1159;2594;2639;2292;1972;1289;661;276;16227
"110007 CORUMBIARA";534;515;526;589;1345;1241;1163;835;473;249;97;7567
"110008 COSTA MARQUES";1905;1672;1617;1772;3288;2822;2160;1426;770;316;107;17855
"110009 ESPIGAO D'OESTE";2552;2473;2548;2705;5445;5293;4449;3319;2005;911;347;32047
"110010 GUAJARA-MIRIM";4357;4165;4277;4356;7968;6932;5671;4122;2313;1117;505;45783
"110011 JARU";3939;3810;4079;4487;8947;9008;7002;5151;3203;1601;706;51933
"110012 JI-PARANA";9412;9387;10089;10769;22246;21748;17504;13716;8087;3488;1461;127907
"110013 MACHADINHO D'OESTE";3597;3413;3392;3486;6713;6283;5133;3667;2200;931;282;39097
"110014 NOVA BRASILANDIA D'OESTE";1480;1409;1502;1706;3591;3258;3032;2240;1370;642;229;20459
"110015 OURO PRETO DO OESTE";2596;2565;2734;2981;6116;6043;4942;4136;2448;1252;527;36340
"110018 PIMENTA BUENO";2679;2696;2952;3206;6527;6212;4882;3797;2153;958;372;36434
"110020 PORTO VELHO";39983;38820;42192;47335;97847;95651;69312;49410;25953;9535;3493;519531
"110025 PRESIDENTE MEDICI";1303;1304;1387;1447;3065;3039;2787;2427;1546;762;342;19409
"110026 RIO CRESPO";307;288;282;310;569;571;538;448;245;117;48;3723
"110028 ROLIM DE MOURA";3939;3868;4189;4660;9807;9429;7588;5733;3315;1533;641;54702
"110029 SANTA LUZIA D'OESTE";460;461;466;490;1088;1067;1003;885;503;252;106;6781
"110030 VILHENA";7630;7441;7880;8574;17574;16965;13200;9715;5319;2319;831;97448
"110032 SAO MIGUEL DO GUAPORE";1916;1778;1829;2043;4168;3706;3085;2279;1313;619;195;22931
"110033 NOVA MAMORE";2928;2719;2708;2808;4996;4749;3941;2629;1442;617;220;29757
"110034 ALVORADA D'OESTE";1099;1059;1111;1186;2405;2264;2080;1725;1095;498;200;14722
"110037 ALTO ALEGRE DOS PARECIS";1148;1037;1086;1184;2303;1932;1884;1364;778;392;119;13227
"110040 ALTO PARAISO";1814;1699;1726;1897;3566;3193;3028;2130;1189;575;182;20999
"110045 BURITIS";3532;3245;3361;3616;6808;6306;4997;3416;2237;1098;321;38937
"110050 NOVO HORIZONTE DO OESTE";631;617;616;635;1379;1301;1328;1113;668;340;123;8751
"110060 CACAULANDIA";537;488;495;536;996;939;824;634;436;227;78;6190
"110070 CAMPO NOVO DE RONDONIA";1328;1186;1178;1257;2349;2229;1969;1357;763;301;92;14009
"110080 CANDEIAS DO JAMARI";2594;2267;2228;2404;4552;4201;3306;2319;1341;577;194;25983
"110090 CASTANHEIRAS";210;198;205;240;513;455;482;405;242;130;39;3119
"110092 CHUPINGUAIA";1039;949;942;1028;2037;1801;1461;946;440;191;52;10886
"110094 CUJUBIM";2483;2208;2240;2475;4357;4032;3064;1969;975;340;83;24226
"110100 GOVERNADOR JORGE TEIXEIRA";628;575;607;676;1321;1256;1153;914;569;290;106;8095
"110110 ITAPUA DO OESTE";1013;936;856;877;1833;1496;1331;981;602;268;79;10272
"110120 MINISTRO ANDREAZZA";807;782;794;828;1674;1462;1363;985;624;318;125;9762
"110130 MIRANTE DA SERRA";847;789;857;977;1873;1695;1485;1128;808;420;201;11080
"110140 MONTE NEGRO";1343;1246;1277;1434;2632;2391;2102;1565;1015;513;177;15695
"110143 NOVA UNIAO";541;529;557;600;1238;1040;1025;769;458;214;76;7047
"110145 PARECIS";522;500;497;505;1034;990;756;631;324;144;44;5947
"110146 PIMENTEIRAS DO OESTE";222;187;173;186;346;329;313;232;131;56;16;2191
"110147 PRIMAVERA DE RONDONIA";205;194;200;247;471;438;421;370;227;118;48;2939
"110148 SAO FELIPE D'OESTE";358;342;347;381;810;835;774;649;451;242;91;5280
"110149 SAO FRANCISCO DO GUAPORE";1830;1648;1659;1823;3544;3009;2620;1822;1123;582;182;19842
"110150 SERINGUEIRAS";938;859;937;1091;2094;1803;1672;1233;744;352;137;11860
"110155 TEIXEIROPOLIS";297;298;309;342;704;667;613;556;306;199;93;4384
"110160 THEOBROMA";845;798;795;842;1647;1629;1511;1130;756;397;144;10494
"110170 URUPA";863;820;866;924;1894;1896;1589;1312;931;423;147;11665
"110175 VALE DO ANARI";954;849;840;915;1795;1708;1532;1194;752;370;119;11028
"110180 VALE DO PARAISO";503;487;501;562;1156;1053;1042;855;506;241;92;6998
"120001 ACRELANDIA";1442;1414;1421;1487;2741;2210;1809;1246;738;376;136;15020
"120005 ASSIS BRASIL";852;823;813;728;1249;1029;794;499;296;149;68;7300
"120010 BRASILEIA";2290;2360;2569;2570;4679;3960;3154;2053;1234;676;303;25848
"120013 BUJARI";976;955;983;1012;1771;1453;1192;817;594;269;89;10111
"120017 CAPIXABA";1167;1098;1117;1234;2095;1436;1318;997;588;305;101;11456
"120020 CRUZEIRO DO SUL";8965;9095;9812;9605;15828;13391;9191;5437;3413;1992;944;87673
"120025 EPITACIOLANDIA";1608;1665;1818;1841;3280;2694;2142;1490;880;486;218;18122
"120030 FEIJO";4313;4315;4323;4015;6031;4392;3143;2052;1146;673;272;34675
"120032 JORDAO";1387;1198;1125;1017;1439;968;576;249;119;53;28;8159
"120033 MANCIO LIMA";2192;2136;2081;1950;3270;2729;1814;1119;739;428;180;18638
