"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2035;2270;2440;2624;4348;3710;3324;2093;1243;698;173;24958
"110002 ARIQUEMES";7760;8931;9367;9166;17661;14802;11603;6988;3718;1819;633;92448
"110003 CABIXI";539;546;616;603;983;931;894;693;381;217;56;6459
"110004 CACOAL";6202;6763;7580;7974;14984;12866;10628;6836;3680;2060;823;80396
"110005 CEREJEIRAS";1319;1463;1658;1743;3013;2608;2432;1486;999;525;178;17424
"110006 COLORADO DO OESTE";1449;1532;1692;1812;3314;2890;2464;1802;1164;661;242;19022
"110007 CORUMBIARA";662;809;928;962;1491;1424;1185;788;433;229;76;8987
"110008 COSTA MARQUES";1494;1639;1690;1417;2437;2070;1430;964;536;235;83;13995
"110009 ESPIGAO D'OESTE";2531;2666;2890;2788;5365;4739;3631;2459;1396;688;242;29395
"110010 GUAJARA-MIRIM";4387;4796;4653;4328;7425;6317;4756;2843;1752;915;450;42622
"110011 JARU";4328;4989;5195;5178;10244;8491;6335;4141;2394;1396;520;53211
"110012 JI-PARANA";9836;10545;10873;11620;22951;19036;15460;10006;5185;2726;1076;119314
"110013 MACHADINHO D'OESTE";3068;3373;3430;3183;5523;4816;3704;2633;1368;603;156;31857
"110014 NOVA BRASILANDIA D'OESTE";1545;1857;2099;2205;3474;3264;2444;1719;1059;518;151;20335
"110015 OURO PRETO DO OESTE";3048;3419;3699;3778;7282;5889;5101;3179;1937;1070;405;38807
"110018 PIMENTA BUENO";2812;3120;3317;3418;6633;5345;4485;2863;1570;738;305;34606
"110020 PORTO VELHO";37724;39625;42085;42555;92049;72033;54513;33400;15092;6648;2734;438458
"110025 PRESIDENTE MEDICI";1677;2005;2119;2279;3804;3293;3023;2259;1316;748;313;22836
"110026 RIO CRESPO";293;340;350;292;560;500;461;283;179;104;31;3393
"110028 ROLIM DE MOURA";4058;4598;4775;5138;9943;8339;6574;4185;2407;1316;489;51822
"110029 SANTA LUZIA D'OESTE";692;734;858;916;1523;1386;1284;826;486;276;111;9092
"110030 VILHENA";6752;7106;7307;7370;15254;12703;10089;6081;3244;1592;471;77969
"110032 SAO MIGUEL DO GUAPORE";1950;2247;2406;2357;3966;3461;2655;1718;989;480;105;22334
"110033 NOVA MAMORE";2335;2704;2602;2215;3996;3581;2605;1646;850;390;145;23069
"110034 ALVORADA D'OESTE";1392;1598;1731;1809;2845;2542;2202;1595;875;487;168;17244
"110037 ALTO ALEGRE DOS PARECIS";1176;1389;1380;1417;2146;2044;1575;1011;630;268;77;13113
"110040 ALTO PARAISO";1528;1850;1974;1704;2820;2762;2150;1416;841;382;105;17532
"110045 BURITIS";3149;3587;3526;3329;6107;5291;3715;2437;1308;533;152;33134
"110050 NOVO HORIZONTE DO OESTE";814;909;1048;1103;1609;1636;1383;961;605;317;92;10477
"110060 CACAULANDIA";518;610;617;555;957;901;698;509;304;162;38;5869
