"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2718;2905;3042;2794;4735;3987;2889;1612;1089;469;112;26352
"110002 ARIQUEMES";8742;9087;9165;8731;15336;12862;8704;4882;2716;1220;328;81773
"110003 CABIXI";749;732;774;761;1238;1050;835;538;371;156;49;7253
"110004 CACOAL";7484;7905;8407;8153;14342;12062;8722;4910;2950;1553;472;76960
"110005 CEREJEIRAS";1714;1852;2032;1920;3175;2805;2052;1253;834;421;128;18186
"110006 COLORADO DO OESTE";2007;2079;2295;2287;3811;3067;2388;1537;1063;500;162;21196
"110007 CORUMBIARA";982;1134;1203;1102;1808;1492;1050;673;455;152;41;10092
"110008 COSTA MARQUES";1496;1442;1284;1169;1977;1402;1010;626;361;182;43;10992
"110009 ESPIGAO D'OESTE";2918;2872;2937;2906;5178;4091;2983;1772;1017;515;143;27332
"110010 GUAJARA-MIRIM";5018;4707;4659;4321;7314;5672;3710;2273;1363;802;324;40163
"110011 JARU";5569;5756;6022;6053;10607;7916;5579;3277;2084;1008;335;54206
"110012 JI-PARANA";11401;11424;12268;12131;21332;17652;12714;7026;3949;2057;674;112628
"110013 MACHADINHO D'OESTE";3101;2985;2970;2852;4893;3627;2755;1696;928;338;80;26225
"110014 NOVA BRASILANDIA D'OESTE";2038;2316;2329;2102;3857;2939;2064;1319;796;391;87;20238
"110015 OURO PRETO DO OESTE";4048;4215;4494;4473;7608;6208;4394;2580;1614;829;263;40726
"110018 PIMENTA BUENO";3344;3424;3637;3591;6158;5080;3746;2163;1222;624;195;33184
"110020 PORTO VELHO";40668;40735;42457;42108;72617;57803;41059;20839;10265;4996;1836;375383
"110025 PRESIDENTE MEDICI";2409;2568;2780;2755;4569;3672;2882;1839;1224;619;185;25502
"110026 RIO CRESPO";325;327;334;324;578;475;329;214;154;64;12;3136
"110028 ROLIM DE MOURA";4822;5105;5541;5326;9246;7676;5378;3133;1986;1062;306;49581
"110029 SANTA LUZIA D'OESTE";1055;1134;1222;1164;1972;1656;1204;687;489;231;76;10890
"110030 VILHENA";6619;6496;6878;6776;11752;9949;7029;3885;2182;984;264;62814
"110032 SAO MIGUEL DO GUAPORE";2460;2632;2606;2356;4032;3147;2210;1290;792;284;61;21870
"110033 NOVA MAMORE";2213;2077;2023;1970;3489;2494;1713;1024;563;235;65;17866
"110034 ALVORADA D'OESTE";2011;2155;2161;2000;3546;2761;2058;1241;797;384;92;19206
"110037 ALTO ALEGRE DOS PARECIS";1508;1592;1525;1304;2389;1967;1242;803;480;176;38;13024
"110040 ALTO PARAISO";1642;1702;1638;1511;2721;2219;1539;975;595;239;53;14834
"110045 BURITIS";3385;3363;3294;3148;5591;4153;2877;1660;842;254;52;28619
"110050 NOVO HORIZONTE DO OESTE";1202;1293;1325;1232;2193;1730;1261;785;540;210;49;11820
"110060 CACAULANDIA";624;623;614;575;1032;811;597;385;240;94;24;5619
"110070 CAMPO NOVO DE RONDONIA";1490;1472;1417;1324;2228;1726;1238;720;374;123;30;12142
"110080 CANDEIAS DO JAMARI";1986;1947;1844;1703;2828;2096;1557;1005;516;225;61;15768
"110090 CASTANHEIRAS";388;455;453;405;700;615;418;327;212;81;23;4077
"110092 CHUPINGUAIA";779;776;764;699;1238;996;663;399;226;72;19;6631
"110094 CUJUBIM";1240;1235;1158;1022;1967;1404;996;581;283;88;21;9995
"110100 GOVERNADOR JORGE TEIXEIRA";1395;1521;1527;1412;2321;1788;1257;841;500;208;56;12826
"110110 ITAPUA DO OESTE";960;932;894;782;1260;1018;797;520;298;102;29;7592
"110120 MINISTRO ANDREAZZA";1207;1291;1319;1179;2039;1656;1100;711;449;224;63;11238
"110130 MIRANTE DA SERRA";1374;1499;1487;1368;2393;1793;1337;827;556;277;77;12988
"110140 MONTE NEGRO";1532;1581;1504;1388;2493;1880;1353;879;553;219;43;13425
