"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2198;2445;2621;2645;4493;3780;3239;1931;1183;633;151;25319
"110002 ARIQUEMES";7924;9190;9343;9173;17072;14245;10823;6354;3380;1654;524;89682
"110003 CABIXI";602;601;629;640;1083;969;881;635;373;199;53;6665
"110004 CACOAL";6496;7220;7803;8072;14902;12574;10160;6235;3427;1919;698;79506
"110005 CEREJEIRAS";1418;1573;1743;1802;3093;2659;2331;1417;930;495;161;17622
"110006 COLORADO DO OESTE";1601;1680;1823;1927;3516;2919;2465;1716;1111;613;214;19585
"110007 CORUMBIARA";725;900;978;1004;1618;1438;1155;736;447;210;62;9273
"110008 COSTA MARQUES";1494;1639;1560;1362;2359;1856;1328;853;475;223;68;13217
"110009 ESPIGAO D'OESTE";2639;2786;2865;2841;5375;4523;3485;2237;1258;641;210;28860
"110010 GUAJARA-MIRIM";4600;4801;4605;4338;7489;6114;4473;2682;1597;879;407;41985
"110011 JARU";4617;5261;5367;5423;10502;8256;6152;3872;2282;1281;456;53469
"110012 JI-PARANA";10300;10889;11291;11859;22638;18473;14849;9083;4729;2532;939;117582
"110013 MACHADINHO D'OESTE";3109;3316;3255;3102;5496;4449;3450;2338;1233;520;130;30398
"110014 NOVA BRASILANDIA D'OESTE";1632;2014;2192;2130;3640;3184;2350;1595;958;487;128;20310
"110015 OURO PRETO DO OESTE";3285;3685;3862;3992;7436;5936;4947;2986;1823;995;357;39304
"110018 PIMENTA BUENO";2950;3258;3390;3503;6544;5225;4310;2642;1437;711;267;34237
"110020 PORTO VELHO";38388;41075;42451;43634;86825;67107;51186;29488;13375;6161;2424;422114
"110025 PRESIDENTE MEDICI";1868;2155;2255;2354;4120;3395;3020;2111;1269;715;265;23527
"110026 RIO CRESPO";303;335;338;304;574;501;426;260;168;94;23;3326
"110028 ROLIM DE MOURA";4236;4766;5021;5276;9762;8135;6265;3866;2235;1255;424;51241
"110029 SANTA LUZIA D'OESTE";779;845;942;969;1671;1463;1275;768;487;261;98;9558
"110030 VILHENA";6761;7057;7217;7419;14337;11851;9283;5413;2885;1419;400;74042
"110032 SAO MIGUEL DO GUAPORE";2044;2387;2469;2353;4051;3353;2544;1575;926;422;90;22214
"110033 NOVA MAMORE";2334;2556;2394;2162;3983;3251;2356;1465;760;343;117;21721
"110034 ALVORADA D'OESTE";1529;1766;1852;1807;3097;2607;2179;1478;836;461;140;17752
"110037 ALTO ALEGRE DOS PARECIS";1240;1450;1453;1358;2236;2041;1488;937;584;241;62;13090
"110040 ALTO PARAISO";1552;1844;1859;1640;2864;2620;1995;1264;767;341;87;16833
"110045 BURITIS";3201;3583;3457;3273;6090;4919;3506;2195;1180;446;114;31964
"110050 NOVO HORIZONTE DO OESTE";904;1031;1099;1106;1819;1666;1360;895;582;285;78;10825
"110060 CACAULANDIA";544;620;604;558;999;876;670;468;289;142;34;5804
"110070 CAMPO NOVO DE RONDONIA";1313;1485;1386;1301;2245;1902;1468;956;457;190;44;12747
"110080 CANDEIAS DO JAMARI";2027;2204;2116;1933;3452;2716;2058;1416;736;309;113;19080
"110090 CASTANHEIRAS";278;363;390;372;604;583;469;330;244;104;30;3767
"110092 CHUPINGUAIA";817;872;879;819;1479;1270;914;529;293;113;25;8010
"110094 CUJUBIM";1558;1755;1649;1486;2715;2208;1591;977;467;169;33;14608
"110100 GOVERNADOR JORGE TEIXEIRA";968;1219;1229;1177;1974;1632;1326;885;542;256;84;11292
"110110 ITAPUA DO OESTE";924;932;960;875;1366;1198;949;675;385;152;45;8461
"110120 MINISTRO ANDREAZZA";976;1112;1180;1139;1841;1646;1229;790;495;267;84;10759
"110130 MIRANTE DA SERRA";1043;1333;1328;1265;2179;1816;1374;967;584;363;117;12369
