"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2381;2596;2812;2649;4615;3882;3136;1787;1149;566;133;25706
"110002 ARIQUEMES";8168;9345;9325;9072;16356;13761;9921;5757;3102;1485;427;86719
"110003 CABIXI";672;650;641;671;1181;1019;867;584;369;180;51;6885
"110004 CACOAL";6836;7601;8065;8092;14715;12356;9611;5675;3235;1774;592;78552
"110005 CEREJEIRAS";1530;1666;1832;1855;3155;2728;2215;1363;879;464;146;17833
"110006 COLORADO DO OESTE";1769;1812;1965;2032;3702;2972;2453;1647;1082;565;190;20189
"110007 CORUMBIARA";798;983;1038;1041;1737;1463;1118;694;469;190;49;9580
"110008 COSTA MARQUES";1502;1613;1428;1286;2260;1650;1210;745;423;211;55;12383
"110009 ESPIGAO D'OESTE";2769;2875;2851;2865;5344;4334;3306;2029;1141;592;182;28288
"110010 GUAJARA-MIRIM";4860;4746;4568;4305;7500;5944;4152;2540;1472;843;372;41302
"110011 JARU";4952;5480;5559;5622;10701;8083;5928;3636;2213;1169;402;53745
"110012 JI-PARANA";10847;11113;11731;11970;22169;18022;14116;8224;4359;2348;827;115726
"110013 MACHADINHO D'OESTE";3173;3209;3079;2984;5419;4096;3161;2053;1117;437;106;28834
"110014 NOVA BRASILANDIA D'OESTE";1736;2149;2292;2036;3783;3126;2242;1482;874;456;107;20283
"110015 OURO PRETO DO OESTE";3556;3916;4043;4167;7556;6032;4763;2821;1745;921;317;39837
"110018 PIMENTA BUENO";3115;3359;3474;3556;6409;5140;4104;2438;1330;684;234;33843
"110020 PORTO VELHO";39348;41997;42871;44234;80852;62501;47364;25737;11877;5654;2168;404603
"110025 PRESIDENTE MEDICI";2079;2288;2402;2412;4422;3523;3000;1986;1249;683;223;24267
"110026 RIO CRESPO";315;322;328;313;587;503;387;239;160;84;17;3255
