"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2918;3192;3143;2946;4795;4047;2702;1527;1047;408;102;26827
"110002 ARIQUEMES";9024;8902;8887;8450;14645;12169;7925;4344;2461;1042;283;78132
"110003 CABIXI";780;803;893;837;1249;1057;812;525;375;143;50;7524
"110004 CACOAL";7821;8155;8530;8208;14054;11867;8112;4467;2756;1401;416;75787
"110005 CEREJEIRAS";1810;2025;2164;1966;3164;2845;1951;1187;819;395;120;18446
"110006 COLORADO DO OESTE";2125;2319;2539;2496;3834;3136;2335;1483;1056;465;150;21938
"110007 CORUMBIARA";1116;1265;1323;1150;1819;1510;1005;682;434;126;39;10469
"110008 COSTA MARQUES";1453;1306;1186;1083;1736;1247;870;565;324;160;38;9968
"110009 ESPIGAO D'OESTE";2944;2876;3003;2935;5019;3933;2748;1635;950;465;120;26628
"110010 GUAJARA-MIRIM";4942;4782;4716;4360;7114;5478;3436;2100;1317;780;299;39324
"110011 JARU";5919;6027;6328;6403;10408;7833;5353;3074;1991;909;300;54545
"110012 JI-PARANA";11459;11812;12438;12247;20705;17472;11689;6323;3734;1876;593;110348
"110013 MACHADINHO D'OESTE";2929;2858;2904;2774;4390;3315;2487;1498;798;284;66;24303
"110014 NOVA BRASILANDIA D'OESTE";2254;2453;2292;2218;3858;2777;1945;1227;761;343;78;20206
"110015 OURO PRETO DO OESTE";4334;4476;4813;4700;7605;6342;4124;2453;1520;780;234;41381
"110018 PIMENTA BUENO";3426;3495;3724;3602;5962;5057;3499;2012;1166;581;174;32698
"110020 PORTO VELHO";40635;39681;41257;39671;67167;55212;36616;17987;9387;4603;1653;353869
"110025 PRESIDENTE MEDICI";2596;2830;3060;3075;4573;3758;2783;1777;1211;575;174;26412
"110026 RIO CRESPO";321;341;343;331;563;445;290;203;150;51;10;3048
"110028 ROLIM DE MOURA";4991;5363;5608;5246;9089;7436;5032;2877;1935;966;274;48817
"110029 SANTA LUZIA D'OESTE";1170;1286;1358;1287;2057;1725;1160;684;481;225;70;11503
"110030 VILHENA";6241;6267;6571;6194;10699;9211;6117;3354;1950;820;221;57645
"110032 SAO MIGUEL DO GUAPORE";2663;2753;2602;2402;3919;3061;2069;1220;731;239;52;21711
"110033 NOVA MAMORE";2020;1923;1933;1896;3050;2201;1482;854;480;199;53;16091
"110034 ALVORADA D'OESTE";2232;2352;2253;2221;3641;2784;1996;1176;789;348;83;19875
"110037 ALTO ALEGRE DOS PARECIS";1631;1685;1469;1356;2427;1879;1151;780;430;153;33;12994
"110040 ALTO PARAISO";1643;1641;1563;1505;2543;2008;1349;907;514;197;44;13914
"110045 BURITIS";3382;3286;3186;3160;5179;3892;2613;1483;664;194;41;27080
"110050 NOVO HORIZONTE DO OESTE";1335;1412;1447;1367;2266;1730;1209;766;519;184;43;12278
"110060 CACAULANDIA";642;645;622;595;1011;774;579;363;202;81;20;5534
"110070 CAMPO NOVO DE RONDONIA";1544;1483;1455;1339;2153;1602;1156;666;342;91;32;11863
"110080 CANDEIAS DO JAMARI";1924;1807;1707;1574;2483;1828;1372;850;460;189;50;14244
"110090 CASTANHEIRAS";453;500;482;429;733;608;396;315;207;75;22;4220
"110092 CHUPINGUAIA";735;737;692;638;1113;876;571;366;194;55;19;5996
"110094 CUJUBIM";1037;1001;886;845;1515;1088;766;439;219;56;19;7871
"110100 GOVERNADOR JORGE TEIXEIRA";1624;1677;1694;1537;2408;1808;1235;837;474;187;51;13532
"110110 ITAPUA DO OESTE";939;925;884;736;1163;960;733;472;267;85;28;7192
"110120 MINISTRO ANDREAZZA";1304;1383;1371;1242;2076;1631;1072;688;422;219;50;11458
"110130 MIRANTE DA SERRA";1539;1600;1553;1451;2423;1777;1305;776;543;239;67;13273
"110140 MONTE NEGRO";1591;1595;1503;1415;2418;1773;1262;811;496;184;38;13086
"110143 NOVA UNIAO";1006;1035;953;930;1578;1138;745;469;304;116;40;8314
"110145 PARECIS";465;462;495;431;654;539;384;235;131;41;15;3852
"110146 PIMENTEIRAS DO OESTE";327;343;298;243;462;355;236;154;88;38;10;2554
"110147 PRIMAVERA DE RONDONIA";468;489;476;462;753;635;435;283;193;86;22;4302
"110148 SAO FELIPE D'OESTE";714;777;795;802;1257;1009;768;503;297;119;33;7074
"110149 SAO FRANCISCO DO GUAPORE";1707;1647;1506;1381;2365;1836;1181;721;347;110;22;12823
"110150 SERINGUEIRAS";1534;1562;1420;1277;2182;1706;1107;637;385;109;20;11939
"110155 TEIXEIROPOLIS";580;645;665;649;1009;808;499;368;255;131;36;5645
"110160 THEOBROMA";1277;1314;1331;1328;2109;1479;1140;751;415;134;38;11316
"110170 URUPA";1686;1729;1824;1788;2704;1886;1523;965;573;201;75;14954
"110175 VALE DO ANARI";1012;1009;977;910;1419;1069;780;521;303;96;18;8114
"110180 VALE DO PARAISO";1066;1158;1144;1113;1830;1447;926;608;384;156;30;9862
"120001 ACRELANDIA";1507;1422;1258;1072;1638;1199;847;569;330;141;26;10009
"120005 ASSIS BRASIL";724;683;623;555;825;553;350;231;136;96;30;4806
"120010 BRASILEIA";2336;2143;2063;1870;2883;2087;1402;939;601;302;116;16742
"120013 BUJARI";1037;931;853;742;1140;784;607;392;208;101;26;6821
"120017 CAPIXABA";871;828;643;530;868;735;500;314;172;85;25;5571
"120020 CRUZEIRO DO SUL";11634;9927;9276;9173;12906;7481;5115;3401;2197;1127;532;72769
"120025 EPITACIOLANDIA";1680;1549;1421;1282;2107;1571;996;652;410;244;89;12001
"120030 FEIJO";5447;5074;4422;3732;5409;3456;2018;1387;856;468;185;32454
"120032 JORDAO";1084;850;683;533;716;390;250;137;81;56;27;4807
"120033 MANCIO LIMA";1889;1705;1578;1465;1908;1104;789;511;301;144;73;11467
"120034 MANOEL URBANO";1200;1043;894;813;1091;618;448;283;210;89;39;6728
"120035 MARECHAL THAUMATURGO";1858;1631;1311;1026;1485;775;486;291;174;88;34;9159
"120038 PLACIDO DE CASTRO";2255;2047;1900;1762;2534;1886;1274;809;548;305;82;15402
"120039 PORTO WALTER";1255;1021;885;754;967;516;345;209;140;57;21;6170
"120040 RIO BRANCO";35202;31827;30079;30454;51866;37356;25109;14040;7897;4656;1971;270457
"120042 RODRIGUES ALVES";1782;1482;1234;1119;1595;873;566;435;237;108;47;9478
"120043 SANTA ROSA DO PURUS";546;468;378;289;364;229;130;72;56;28;8;2568
"120045 SENADOR GUIOMARD";2573;2311;2212;2038;3195;2195;1584;1037;657;349;118;18269
"120050 SENA MADUREIRA";4921;4375;3888;3718;5236;3139;2338;1552;976;564;251;30958
"120060 TARAUACA";5251;4513;3969;3495;4612;2951;1881;1271;836;482;192;29453
"120070 XAPURI";1880;1810;1594;1444;2126;1533;1109;752;512;335;112;13207
"120080 PORTO ACRE";1669;1563;1386;1154;1858;1382;972;669;399;203;60;11315
"130002 ALVARAES";2390;2056;1757;1450;2019;1190;738;495;352;140;46;12633
"130006 AMATURA";1269;1200;1040;868;1310;797;508;332;223;98;60;7705
"130008 ANAMA";1132;1039;973;850;1180;756;460;307;251;104;50;7102
"130010 ANORI";1858;1715;1649;1441;2057;1271;842;550;413;200;115;12111
"130014 APUI";1956;1951;1906;1598;2428;2003;1494;766;372;113;35;14622
"130020 ATALAIA DO NORTE";1857;1750;1543;1245;1783;1141;708;400;247;110;39;10823
"130030 AUTAZES";4125;3737;3486;2930;4050;2763;1845;1219;861;472;243;25731
"130040 BARCELOS";3429;3743;3512;2910;4219;3163;1773;1082;745;255;78;24909
"130050 BARREIRINHA";4119;3674;3267;2635;3468;2310;1589;1035;779;468;259;23603
"130060 BENJAMIN CONSTANT";4117;3578;3339;2985;4032;2656;1676;1074;835;377;167;24836
"130063 BERURI";2184;1826;1613;1412;1792;1119;733;472;369;166;79;11765
"130068 BOA VISTA DO RAMOS";1862;1727;1566;1264;1786;1138;789;458;342;163;106;11201
"130070 BOCA DO ACRE";4113;3806;3648;3347;4950;3016;2108;1432;980;455;204;28059
"130080 BORBA";5022;4782;4222;3522;4711;2782;1929;1315;896;465;301;29947
"130083 CAAPIRANGA";1485;1344;1219;1113;1627;944;661;431;253;120;38;9235
"130090 CANUTAMA";1741;1833;1688;1485;2122;1399;898;582;334;123;39;12244
"130100 CARAUARI";4188;3778;3408;2885;3898;2448;1569;962;631;294;144;24205
"130110 CAREIRO";3748;3893;3804;3458;5121;3367;2328;1507;949;428;131;28734
"130115 CAREIRO DA VARZEA";2393;2320;2261;2033;3197;2242;1514;1101;800;363;147;18371
"130120 COARI";11351;10369;9445;8316;12360;7032;4759;2893;1811;857;376;69569
"130130 CODAJAS";2877;2749;2601;2304;3015;1883;1306;803;562;292;122;18514
"130140 EIRUNEPE";4370;4260;3905;3393;4382;2699;1782;1111;709;342;175;27128
"130150 ENVIRA";2281;2042;1831;1676;2321;1260;767;453;342;125;69;13167
"130160 FONTE BOA";4959;4619;4040;3425;5117;2878;1810;1129;729;276;157;29139
"130165 GUAJARA";2188;1944;1647;1408;1831;1150;665;425;295;128;54;11735
"130170 HUMAITA";5344;4948;4565;4208;5859;3720;2553;1689;1100;553;225;34764
"130180 IPIXUNA";3126;2507;2144;1877;2424;1409;915;497;299;162;86;15446
"130185 IRANDUBA";5063;4491;4244;4106;6397;3966;2623;1740;1267;518;225;34640
"130190 ITACOATIARA";10917;9984;9500;8952;13047;8453;6025;3885;2631;1269;656;75319
"130195 ITAMARATI";1640;1454;1222;1046;1363;814;483;290;145;73;28;8558
"130200 ITAPIRANGA";1099;1068;1020;888;1253;773;577;411;275;127;81;7572
"130210 JAPURA";1883;1876;1698;1514;2466;1340;717;458;308;89;12;12361
