"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2282;2529;2714;2649;4559;3828;3188;1857;1163;599;141;25509
"110002 ARIQUEMES";8018;9312;9322;9137;16729;13997;10379;6053;3237;1570;474;88228
"110003 CABIXI";635;628;635;657;1132;992;873;608;371;190;52;6773
"110004 CACOAL";6640;7440;7933;8091;14820;12456;9893;5948;3327;1847;643;79038
"110005 CEREJEIRAS";1470;1625;1784;1832;3126;2692;2274;1387;904;479;152;17725
"110006 COLORADO DO OESTE";1679;1753;1891;1980;3612;2943;2460;1680;1095;588;201;19882
"110007 CORUMBIARA";759;945;1008;1023;1680;1449;1136;713;457;199;55;9424
"110008 COSTA MARQUES";1493;1633;1493;1326;2314;1752;1270;800;449;217;61;12808
"110009 ESPIGAO D'OESTE";2696;2842;2861;2856;5365;4425;3397;2131;1196;616;195;28580
"110010 GUAJARA-MIRIM";4719;4790;4581;4324;7504;6026;4315;2610;1532;861;388;41650
"110011 JARU";4768;5393;5458;5525;10612;8161;6043;3749;2244;1224;427;53604
"110012 JI-PARANA";10536;11054;11499;11927;22427;18237;14501;8645;4530;2438;877;116671
"110013 MACHADINHO D'OESTE";3131;3278;3166;3047;5466;4271;3310;2193;1172;479;117;29630
"110014 NOVA BRASILANDIA D'OESTE";1679;2088;2240;2086;3716;3152;2296;1537;914;472;117;20297
"110015 OURO PRETO DO OESTE";3408;3814;3948;4082;7503;5978;4858;2900;1782;957;336;39566
"110018 PIMENTA BUENO";3023;3322;3430;3533;6484;5177;4208;2537;1382;698;250;34044
"110020 PORTO VELHO";38747;41720;42636;43987;83945;64774;49321;27594;12608;5907;2285;413524
"110025 PRESIDENTE MEDICI";1965;2230;2325;2385;4276;3455;3011;2046;1257;697;243;23890
"110026 RIO CRESPO";308;329;333;309;580;501;407;250;165;89;20;3291
"110028 ROLIM DE MOURA";4329;4843;5147;5326;9651;8053;6089;3714;2165;1223;396;50936
"110029 SANTA LUZIA D'OESTE";825;901;986;994;1749;1502;1268;743;489;253;93;9803
"110030 VILHENA";6768;7014;7174;7401;13832;11443;8838;5087;2722;1331;368;71978
"110032 SAO MIGUEL DO GUAPORE";2093;2454;2503;2342;4087;3307;2481;1509;899;392;83;22150
"110033 NOVA MAMORE";2334;2467;2290;2124;3967;3092;2219;1376;719;319;105;21012
"110034 ALVORADA D'OESTE";1600;1849;1916;1802;3218;2648;2164;1424;824;448;127;18020
"110037 ALTO ALEGRE DOS PARECIS";1274;1485;1491;1325;2273;2042;1438;902;565;227;56;13078
"110040 ALTO PARAISO";1565;1835;1802;1599;2878;2553;1908;1192;735;320;79;16466
"110045 BURITIS";3230;3570;3423;3230;6064;4742;3387;2078;1126;402;97;31349
"110050 NOVO HORIZONTE DO OESTE";950;1091;1131;1103;1922;1686;1347;865;574;269;70;11008
"110060 CACAULANDIA";556;624;604;557;1018;868;651;448;284;129;31;5770
"110070 CAMPO NOVO DE RONDONIA";1345;1490;1376;1305;2264;1882;1420;895;440;179;40;12636
"110080 CANDEIAS DO JAMARI";2013;2185;2060;1901;3361;2596;1953;1331;679;292;100;18471
"110090 CASTANHEIRAS";291;382;400;375;626;595;459;336;233;99;28;3824
"110092 CHUPINGUAIA";810;860;861;801;1440;1217;863;497;281;104;23;7757
"110094 CUJUBIM";1504;1673;1569;1389;2615;2040;1467;893;428;152;30;13760
"110100 GOVERNADOR JORGE TEIXEIRA";1024;1280;1268;1215;2064;1675;1314;874;536;248;76;11574
"110110 ITAPUA DO OESTE";930;944;941;860;1362;1156;920;641;366;142;39;8301
"110120 MINISTRO ANDREAZZA";1011;1154;1201;1133;1898;1656;1197;774;488;254;81;10847
"110130 MIRANTE DA SERRA";1087;1368;1352;1274;2244;1814;1373;939;580;345;107;12483
"110140 MONTE NEGRO";1362;1595;1545;1386;2495;2051;1538;1039;646;301;67;14025
"110143 NOVA UNIAO";701;875;895;819;1391;1191;868;571;342;151;54;7858
"110145 PARECIS";481;503;487;507;822;644;550;326;193;75;19;4607
"110146 PIMENTEIRAS DO OESTE";272;266;274;232;411;356;277;177;107;37;15;2424
"110147 PRIMAVERA DE RONDONIA";300;395;406;356;654;569;477;317;204;93;40;3811
"110148 SAO FELIPE D'OESTE";513;605;631;606;1161;960;804;573;357;169;49;6428
"110149 SAO FRANCISCO DO GUAPORE";1588;1788;1756;1584;2782;2340;1639;1026;572;225;51;15351
"110150 SERINGUEIRAS";1063;1407;1384;1249;2110;1786;1363;829;459;218;43;11911
"110155 TEIXEIROPOLIS";416;502;545;534;918;767;626;376;284;166;57;5191
"110160 THEOBROMA";1015;1173;1154;1087;2008;1605;1267;892;528;230;61;11020
"110170 URUPA";1206;1422;1433;1430;2581;1908;1559;1175;671;290;95;13770
"110175 VALE DO ANARI";881;1030;997;923;1630;1276;1050;719;438;181;38;9163
"110180 VALE DO PARAISO";724;899;947;898;1593;1343;1064;689;412;207;55;8831
"120001 ACRELANDIA";1493;1579;1471;1243;2042;1587;1157;793;457;213;53;12088
"120005 ASSIS BRASIL";891;742;683;617;1042;735;484;311;189;98;49;5841
"120010 BRASILEIA";2434;2538;2310;2137;3659;2841;1940;1268;795;427;170;20519
"120013 BUJARI";1044;1077;960;822;1419;1057;729;577;317;129;55;8186
"120017 CAPIXABA";1009;1114;1030;761;1211;1069;808;524;310;129;47;8012
"120020 CRUZEIRO DO SUL";10722;10966;9520;8472;15100;9602;5965;3998;2625;1332;650;78952
"120025 EPITACIOLANDIA";1761;1774;1639;1498;2580;2036;1384;866;562;310;130;14540
"120030 FEIJO";5623;4831;4400;3590;5628;3776;2379;1470;985;487;207;33376
"120032 JORDAO";1283;1110;875;675;985;592;330;176;92;49;30;6197
"120033 MANCIO LIMA";2215;2027;1826;1564;2653;1622;1052;709;466;208;100;14442
"120034 MANOEL URBANO";1240;1159;1011;820;1370;867;569;368;223;131;52;7810
"120035 MARECHAL THAUMATURGO";2518;2192;1876;1491;2130;1237;713;424;255;126;43;13005
"120038 PLACIDO DE CASTRO";2271;2206;1970;1693;2866;2196;1650;1104;673;363;137;17129
"120039 PORTO WALTER";1753;1431;1160;878;1374;828;471;293;170;82;33;8473
"120040 RIO BRANCO";36269;36823;34638;32572;64086;48323;32775;20312;10722;5503;2651;324674
"120042 RODRIGUES ALVES";2155;2153;1746;1370;2288;1479;867;572;374;155;63;13222
"120043 SANTA ROSA DO PURUS";845;683;560;459;707;409;226;128;83;30;12;4142
"120045 SENADOR GUIOMARD";2472;2515;2244;2035;3545;2684;1909;1334;822;427;166;20153
"120050 SENA MADUREIRA";4805;5032;4523;3954;6991;4408;2895;1995;1261;671;322;36857
