"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";1812;1921;2099;2201;4250;3697;3268;2475;1363;745;235;24066
"110002 ARIQUEMES";7773;8198;9428;9724;18607;16382;13073;8515;4668;2138;772;99278
"110003 CABIXI";465;475;462;484;894;920;873;702;406;206;64;5951
"110004 CACOAL";5896;6285;6963;7535;15277;13485;11336;8140;4472;2253;953;82595
"110005 CEREJEIRAS";1189;1281;1390;1507;3009;2616;2364;1799;1030;547;204;16936
"110006 COLORADO DO OESTE";1242;1310;1367;1452;3003;2814;2386;1924;1211;669;253;17631
"110007 CORUMBIARA";584;619;707;776;1459;1347;1202;801;452;246;87;8280
"110008 COSTA MARQUES";1657;1589;1694;1714;2766;2547;1761;1179;644;274;91;15916
"110009 ESPIGAO D'OESTE";2468;2557;2711;2831;5413;5073;4037;2907;1645;777;296;30715
"110010 GUAJARA-MIRIM";4234;4399;4624;4367;7730;6685;5226;3462;2023;976;470;44196
"110011 JARU";4015;4231;4771;4853;9569;8982;6680;4643;2742;1480;609;52575
"110012 JI-PARANA";9320;9947;10713;11009;22863;20582;16496;11919;6466;3013;1264;123592
"110013 MACHADINHO D'OESTE";3252;3311;3493;3411;6100;5703;4344;3119;1756;765;207;35461
"110014 NOVA BRASILANDIA D'OESTE";1468;1547;1813;1960;3602;3316;2756;1994;1184;566;191;20397
"110015 OURO PRETO DO OESTE";2738;2916;3233;3388;6738;6070;5020;3716;2147;1155;458;37579
"110018 PIMENTA BUENO";2652;2883;3198;3316;6681;5804;4630;3385;1785;839;343;35516
"110020 PORTO VELHO";37668;39217;42983;45826;95501;84454;60971;41693;19705;7746;3052;478816
"110025 PRESIDENTE MEDICI";1440;1583;1771;1784;3509;3233;2931;2385;1425;745;324;21130
"110026 RIO CRESPO";293;303;322;323;541;561;489;370;207;111;37;3557
"110028 ROLIM DE MOURA";3886;4123;4632;4833;10069;8890;7160;4931;2763;1403;566;53256
"110029 SANTA LUZIA D'OESTE";559;589;625;686;1338;1235;1173;866;487;278;105;7941
"110030 VILHENA";6978;7292;7782;8061;16513;14907;11573;7945;4054;1914;647;87666
"110032 SAO MIGUEL DO GUAPORE";1886;1913;2156;2246;4093;3642;2872;2011;1106;560;146;22631
"110033 NOVA MAMORE";2557;2609;2801;2595;4405;4319;3198;2121;1134;486;173;26398
"110034 ALVORADA D'OESTE";1207;1272;1418;1467;2671;2478;2159;1666;970;500;181;15989
"110037 ALTO ALEGRE DOS PARECIS";1126;1137;1294;1280;2274;2003;1765;1163;693;341;94;13170
"110040 ALTO PARAISO";1635;1677;1909;1903;3164;2976;2653;1747;973;482;139;19258
"110045 BURITIS";3238;3286;3627;3507;6414;5956;4361;2909;1712;796;217;36023
"110050 NOVO HORIZONTE DO OESTE";707;739;799;842;1549;1477;1384;1054;626;336;105;9618
"110060 CACAULANDIA";512;518;578;564;967;936;776;547;375;201;55;6029
"110070 CAMPO NOVO DE RONDONIA";1251;1248;1365;1296;2245;2151;1786;1207;616;246;71;13482
"110080 CANDEIAS DO JAMARI";2259;2165;2314;2286;4039;3686;2724;1936;1102;419;168;23098
"110090 CASTANHEIRAS";226;240;286;310;544;506;496;368;255;126;33;3390
"110092 CHUPINGUAIA";905;902;945;982;1752;1650;1211;760;378;158;41;9684
"110094 CUJUBIM";2005;1977;2182;2102;3498;3438;2426;1495;763;263;58;20207
"110100 GOVERNADOR JORGE TEIXEIRA";725;756;885;890;1579;1445;1265;922;579;284;101;9431
"110110 ITAPUA DO OESTE";934;913;898;947;1602;1400;1160;868;502;229;62;9515
"110120 MINISTRO ANDREAZZA";842;872;965;984;1774;1486;1399;874;568;309;106;10179
"110130 MIRANTE DA SERRA";877;929;1134;1112;1969;1801;1433;1093;693;408;170;11619
"110140 MONTE NEGRO";1270;1317;1506;1504;2437;2369;1878;1342;854;447;130;15054
"110143 NOVA UNIAO";568;607;690;738;1268;1127;981;699;409;202;69;7358
"110145 PARECIS";480;496;506;507;978;839;699;504;273;118;32;5432
"110146 PIMENTEIRAS DO OESTE";224;210;210;226;351;349;311;211;120;53;16;2281
"110147 PRIMAVERA DE RONDONIA";225;239;294;323;502;506;448;350;225;115;47;3274
"110148 SAO FELIPE D'OESTE";389;411;463;491;886;936;793;631;424;219;78;5721
"110149 SAO FRANCISCO DO GUAPORE";1666;1629;1781;1828;3215;2822;2249;1494;912;397;124;18117
"110150 SERINGUEIRAS";934;970;1195;1201;2074;1813;1594;1084;608;308;99;11880
"110155 TEIXEIROPOLIS";324;349;397;438;787;698;644;489;303;177;88;4694
"110160 THEOBROMA";849;893;995;986;1673;1725;1387;1071;678;333;106;10696
"110170 URUPA";924;979;1105;1121;2153;1971;1544;1288;879;383;127;12474
"110175 VALE DO ANARI";875;873;971;961;1667;1625;1320;1020;611;306;83;10312
"110180 VALE DO PARAISO";551;586;671;743;1278;1182;1086;814;478;229;84;7702
"120001 ACRELANDIA";1433;1508;1539;1516;2334;2080;1554;1047;654;296;108;14069
"120005 ASSIS BRASIL";850;866;769;673;1173;959;670;432;242;130;62;6826
"120010 BRASILEIA";2299;2535;2631;2438;4290;3613;2730;1691;1063;579;251;24120
"120013 BUJARI";974;1026;1062;994;1558;1403;971;719;495;202;82;9486
"120017 CAPIXABA";1093;1131;1219;1182;1618;1340;1157;819;480;224;76;10339
"120020 CRUZEIRO DO SUL";9276;10040;10279;9332;15195;12502;7729;4856;3035;1760;841;84845
"120025 EPITACIOLANDIA";1638;1794;1827;1737;2994;2507;1895;1209;751;423;185;16960
"120030 FEIJO";4562;4818;4510;3900;5738;4162;2890;1753;1077;585;259;34254
"120032 JORDAO";1316;1231;1109;903;1236;843;472;229;100;54;30;7523
