"Municipio";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"110001 ALTA FLORESTA D'OESTE";2983;3352;3196;3020;4844;4076;2618;1498;1031;376;101;27095
"110002 ARIQUEMES";9029;8814;8719;8255;14304;11780;7529;4099;2331;949;272;76081
"110003 CABIXI";785;843;955;875;1260;1062;807;526;376;135;53;7677
"110004 CACOAL";7883;8309;8577;8211;13928;11743;7817;4267;2662;1323;407;75127
"110005 CEREJEIRAS";1836;2122;2231;1986;3167;2865;1905;1167;814;379;121;18593
"110006 COLORADO DO OESTE";2161;2452;2663;2605;3861;3174;2318;1470;1058;445;149;22356
"110007 CORUMBIARA";1170;1339;1387;1174;1834;1519;986;697;424;112;39;10681
"110008 COSTA MARQUES";1402;1235;1131;1033;1609;1162;796;534;305;147;37;9391
"110009 ESPIGAO D'OESTE";2914;2885;3027;2941;4943;3844;2633;1576;917;437;115;26232
"110010 GUAJARA-MIRIM";4839;4833;4738;4364;7022;5369;3302;2026;1294;765;299;38851
"110011 JARU";6023;6189;6478;6565;10338;7788;5254;2999;1948;857;297;54736
"110012 JI-PARANA";11316;12043;12493;12260;20411;17346;11196;6008;3629;1781;580;109063
"110013 MACHADINHO D'OESTE";2793;2793;2856;2716;4128;3140;2348;1401;729;254;63;23221
"110014 NOVA BRASILANDIA D'OESTE";2332;2533;2272;2271;3868;2693;1891;1192;742;316;77;20187
"110015 OURO PRETO DO OESTE";4427;4631;4973;4807;7627;6408;4003;2413;1478;755;228;41750
"110018 PIMENTA BUENO";3419;3542;3761;3601;5872;5036;3379;1949;1138;556;172;32425
"110020 PORTO VELHO";39956;39163;40485;38217;64355;53664;34346;16630;8930;4384;1618;341748
"110025 PRESIDENTE MEDICI";2661;2978;3203;3236;4592;3806;2746;1763;1209;552;178;26924
"110026 RIO CRESPO";315;350;345;333;557;429;271;197;149;44;9;2999
"110028 ROLIM DE MOURA";5009;5506;5633;5189;9022;7300;4866;2767;1909;915;270;48386
"110029 SANTA LUZIA D'OESTE";1216;1371;1430;1354;2110;1762;1144;692;479;220;71;11849
"110030 VILHENA";5940;6137;6372;5857;10140;8784;5643;3094;1826;731;209;54733
"110032 SAO MIGUEL DO GUAPORE";2729;2825;2598;2420;3872;3015;2004;1194;700;215;50;21622
"110033 NOVA MAMORE";1883;1841;1874;1842;2818;2039;1360;771;436;179;48;15091
"110034 ALVORADA D'OESTE";2318;2467;2303;2332;3705;2799;1972;1155;789;329;83;20252
"110037 ALTO ALEGRE DOS PARECIS";1676;1740;1438;1378;2452;1833;1108;774;405;141;32;12977
"110040 ALTO PARAISO";1615;1609;1519;1493;2450;1893;1251;876;473;176;41;13396
"110045 BURITIS";3322;3252;3121;3150;4968;3746;2479;1400;574;162;38;26212
"110050 NOVO HORIZONTE DO OESTE";1387;1478;1509;1435;2314;1735;1187;766;513;171;41;12536
"110060 CACAULANDIA";650;654;625;604;1001;753;570;353;184;73;19;5486
"110070 CAMPO NOVO DE RONDONIA";1547;1497;1474;1343;2118;1536;1115;643;326;74;33;11706
"110080 CANDEIAS DO JAMARI";1855;1733;1628;1496;2299;1680;1273;774;432;168;47;13385
"110090 CASTANHEIRAS";481;529;496;442;753;606;385;310;204;71;24;4301
"110092 CHUPINGUAIA";698;715;651;601;1048;810;522;350;178;45;20;5638
"110094 CUJUBIM";905;867;735;741;1267;909;642;363;185;40;20;6674
"110100 GOVERNADOR JORGE TEIXEIRA";1723;1771;1782;1603;2465;1822;1231;844;464;174;51;13930
"110110 ITAPUA DO OESTE";909;922;876;708;1115;928;702;451;252;75;29;6967
"110120 MINISTRO ANDREAZZA";1338;1435;1398;1272;2105;1618;1062;685;409;215;45;11582
"110130 MIRANTE DA SERRA";1605;1660;1588;1489;2449;1768;1294;759;537;219;65;13433
"110140 MONTE NEGRO";1607;1605;1497;1424;2381;1715;1216;782;467;164;37;12895
"110143 NOVA UNIAO";1053;1064;958;972;1606;1121;727;458;299;110;39;8407
"110145 PARECIS";447;456;492;410;622;520;355;224;121;37;15;3699
"110146 PIMENTEIRAS DO OESTE";331;365;303;244;471;357;227;151;85;38;9;2581
"110147 PRIMAVERA DE RONDONIA";495;509;498;484;767;646;430;280;188;84;21;4402
"110148 SAO FELIPE D'OESTE";741;819;831;847;1254;1021;766;499;285;110;32;7205
"110149 SAO FRANCISCO DO GUAPORE";1694;1614;1442;1342;2278;1739;1102;680;307;91;21;12310
"110150 SERINGUEIRAS";1610;1599;1414;1291;2188;1684;1065;619;365;90;20;11945
"110155 TEIXEIROPOLIS";603;675;692;675;1027;808;478;371;251;123;34;5737
"110160 THEOBROMA";1301;1352;1374;1389;2097;1456;1126;737;389;120;35;11376
"110170 URUPA";1753;1798;1901;1866;2703;1891;1518;940;562;187;76;15195
"110175 VALE DO ANARI";1014;1007;973;906;1356;1033;734;500;278;83;17;7901
"110180 VALE DO PARAISO";1119;1215;1181;1166;1866;1459;901;609;382;146;28;10072
"120001 ACRELANDIA";1500;1399;1246;1031;1546;1144;800;535;314;127;23;9665
"120005 ASSIS BRASIL";680;686;615;540;784;527;327;224;128;95;29;4635
"120010 BRASILEIA";2296;2075;2052;1808;2730;1970;1325;893;575;278;115;16117
"120013 BUJARI";1027;907;854;718;1073;747;592;361;197;95;24;6595
"120017 CAPIXABA";840;788;585;489;803;679;448;282;153;78;22;5167
"120020 CRUZEIRO DO SUL";11696;9686;9403;9306;12379;7180;4990;3339;2133;1089;545;71746
"120025 EPITACIOLANDIA";1651;1511;1395;1234;2028;1493;941;622;388;231;87;11581
"120030 FEIJO";5279;5205;4478;3724;5361;3405;1965;1381;848;460;196;32302
"120032 JORDAO";1037;811;660;501;668;360;241;134;79;57;29;4577
"120033 MANCIO LIMA";1802;1666;1572;1441;1748;1037;742;488;271;135;73;10975
"120034 MANOEL URBANO";1178;1027;890;812;1024;584;428;276;211;80;39;6549
"120035 MARECHAL THAUMATURGO";1711;1563;1228;940;1380;704;452;271;160;81;33;8523
"120038 PLACIDO DE CASTRO";2211;2035;1929;1775;2442;1841;1207;767;537;295;77;15116
"120039 PORTO WALTER";1130;973;872;726;880;471;328;202;134;51;22;5789
"120040 RIO BRANCO";34678;30784;29450;29900;49761;35800;23969;13130;7544;4505;1965;261486
"120042 RODRIGUES ALVES";1702;1376;1175;1074;1452;780;520;419;214;100;47;8859
"120043 SANTA ROSA DO PURUS";488;447;341;247;312;206;112;64;56;27;8;2308
"120045 SENADOR GUIOMARD";2554;2281;2250;2023;3117;2117;1531;998;635;333;118;17957
"120050 SENA MADUREIRA";4925;4245;3803;3672;4879;2968;2265;1495;937;539;254;29982
"120060 TARAUACA";5001;4439;3960;3457;4362;2869;1800;1237;808;467;193;28593
"120070 XAPURI";1847;1791;1564;1414;2011;1465;1061;714;501;326;112;12806
"120080 PORTO ACRE";1637;1520;1361;1098;1761;1307;921;628;370;184;57;10844
"130002 ALVARAES";2363;2047;1759;1429;1953;1155;708;491;347;131;47;12430
"130006 AMATURA";1250;1187;1012;830;1256;756;480;331;215;95;65;7477
"130008 ANAMA";1111;982;952;800;1071;697;422;297;235;95;52;6714
"130010 ANORI";1821;1630;1637;1375;1893;1183;804;535;396;187;120;11581
"130014 APUI";2000;1938;1899;1483;2266;1963;1447;703;347;101;37;14184
"130020 ATALAIA DO NORTE";1809;1703;1470;1142;1676;1058;674;379;230;101;39;10281
"130030 AUTAZES";4014;3645;3511;2846;3819;2640;1738;1169;829;448;248;24907
"130040 BARCELOS";3520;3849;3518;2773;4144;3179;1675;1037;740;237;83;24755
"130050 BARREIRINHA";4021;3625;3307;2576;3281;2253;1532;1015;761;459;270;23100
"130060 BENJAMIN CONSTANT";3872;3432;3285;2896;3771;2547;1572;1045;813;348;174;23755
"130063 BERURI";2116;1740;1601;1385;1659;1065;683;450;362;151;81;11293
"130068 BOA VISTA DO RAMOS";1809;1663;1545;1188;1672;1076;748;429;333;151;110;10724
"130070 BOCA DO ACRE";4144;3753;3713;3349;4791;2894;2051;1403;947;431;211;27687
"130080 BORBA";5001;4790;4206;3423;4454;2654;1844;1287;861;443;316;29279
"130083 CAAPIRANGA";1487;1309;1216;1099;1554;887;646;415;242;113;38;9006
"130090 CANUTAMA";1752;1889;1706;1460;2016;1361;839;557;314;109;39;12042
"130100 CARAUARI";4268;3734;3457;2864;3745;2401;1526;926;612;277;151;23961
"130110 CAREIRO";3651;3931;3881;3436;4906;3222;2241;1469;920;401;132;28190
"130115 CAREIRO DA VARZEA";2349;2238;2249;1977;3024;2086;1415;1067;769;341;150;17665
"130120 COARI";11633;10220;9405;8137;12012;6780;4667;2820;1765;815;390;68644
"130130 CODAJAS";2918;2669;2581;2235;2755;1791;1247;765;544;280;126;17911
"130140 EIRUNEPE";4272;4314;3926;3368;4133;2647;1710;1085;681;322;185;26643
"130150 ENVIRA";2261;1977;1812;1659;2195;1184;724;439;334;99;74;12758
"130160 FONTE BOA";5062;4844;4183;3488;5248;2881;1823;1137;729;263;168;29826
"130165 GUAJARA";2243;1885;1616;1383;1722;1104;614;410;286;121;56;11440
"130170 HUMAITA";5461;4726;4490;4099;5451;3501;2412;1613;1051;521;228;33553
"130180 IPIXUNA";3002;2395;2091;1798;2190;1306;843;460;269;158;85;14597
"130185 IRANDUBA";4986;4353;4272;4127;6175;3789;2496;1674;1242;478;234;33826
"130190 ITACOATIARA";10825;9783;9613;8961;12435;8136;5820;3762;2548;1200;686;73769
"130195 ITAMARATI";1698;1486;1244;1051;1314;809;475;281;142;71;29;8600
"130200 ITAPIRANGA";1109;1067;1035;881;1206;742;557;408;264;123;86;7478
"130210 JAPURA";1924;2004;1794;1592;2598;1374;730;499;321;84;13;12933
"130220 JURUA";1296;1002;937;799;1106;641;405;260;175;75;40;6736
"130230 JUTAI";4605;4207;3430;2580;3402;2027;1255;764;480;192;77;23019
"130240 LABREA";4835;4229;4215;3689;4555;3064;2139;1338;921;443;196;29624
"130250 MANACAPURU";11180;10304;10212;9132;12436;7923;5435;3592;2550;1260;594;74618
"130255 MANAQUIRI";1870;1738;1737;1539;2039;1465;1002;718;529;261;106;13004
"130260 MANAUS";177223;158388;150931;164804;298338;213535;137635;70402;38968;19068;8976;1438268
"130270 MANICORE";5838;5899;5619;4568;6117;4050;2780;1840;1274;588;343;38916
"130280 MARAA";2746;2901;2669;2098;2998;1870;1023;607;365;132;64;17473
"130290 MAUES";6715;5979;5868;4640;5982;4105;3177;1721;1513;856;404;40960
"130300 NHAMUNDA";2343;2427;2333;1928;2350;1504;1045;752;580;289;158;15709
"130310 NOVA OLINDA DO NORTE";3911;3870;3328;2804;3746;2411;1739;876;796;508;283;24272
"130320 NOVO AIRAO";1387;1467;1434;1177;1567;1098;719;440;346;163;76;9874
"130330 NOVO ARIPUANA";2885;2761;2474;2031;2700;1707;1211;771;573;238;163;17514
"130340 PARINTINS";13986;13044;12725;11437;14587;9797;6919;4283;3153;1512;787;92230
"130350 PAUINI";2932;2644;2498;2303;2817;1781;1128;712;442;168;61;17486
"130353 PRESIDENTE FIGUEIREDO";2591;2294;1992;1839;3218;2597;1772;864;414;156;58;17795
"130356 RIO PRETO DA EVA";2572;2516;2165;1937;3683;2274;1386;836;437;133;49;17988
"130360 SANTA ISABEL DO RIO NEGRO";1787;1587;1388;1226;1744;1138;774;547;396;140;78;10805
"130370 SANTO ANTONIO DO ICA";4691;5220;4638;3296;4321;2797;1941;973;564;260;163;28864
"130380 SAO GABRIEL DA CACHOEIRA";4762;4128;3599;3322;5397;3770;2378;1587;955;480;260;30638
"130390 SAO PAULO DE OLIVENCA";4203;3910;3372;2662;3786;2436;1396;891;589;293;108;23646
"130395 SAO SEBASTIAO DO UATUMA";1286;1108;1001;848;1241;676;465;326;212;104;58;7325
"130400 SILVES";1308;1242;1072;893;1209;802;638;367;239;148;47;7965
"130406 TABATINGA";6323;5531;5112;4648;6735;4356;2757;1576;1027;483;246;38794
"130410 TAPAUA";3492;3577;3143;2508;3093;1858;1220;558;328;157;79;20013
"130420 TEFE";10497;9421;9330;8442;11439;6705;4418;2773;1696;790;433;65944
"130423 TONANTINS";2933;2673;2251;1698;2408;1591;1025;626;400;199;66;15870
"130426 UARINI";1856;1760;1542;1214;1705;1023;651;383;199;111;47;10491
"130430 URUCARA";2843;2937;2703;2216;2981;2078;1219;891;519;279;130;18796
"130440 URUCURITUBA";1993;1938;1858;1478;1736;1186;917;572;423;243;203;12547
"140002 AMAJARI";964;818;619;503;794;618;480;306;199;86;53;5440
"140005 ALTO ALEGRE";2250;2446;2977;2238;2948;2547;1458;779;443;158;158;18402
"140010 BOA VISTA";28516;24612;22479;23835;40321;30429;18996;9071;4592;2094;1160;206105
"140015 BONFIM";1750;1571;1120;895;1578;1100;779;386;237;108;60;9584
"140017 CANTA";1394;1206;1081;919;1318;1055;864;543;294;78;56;8808
"140020 CARACARAI";2372;2034;1842;1685;2358;1758;1203;769;446;148;66;14681
"140023 CAROEBE";784;815;817;722;929;708;488;322;172;70;22;5849
"140028 IRACEMA";743;656;644;543;792;571;441;294;148;49;32;4913
"140030 MUCAJAI";1578;1458;1474;1380;1839;1491;1067;678;392;126;75;11558
"140040 NORMANDIA";1178;1053;824;645;977;702;421;248;146;68;46;6308
